Project_Size,Weather_Conditions,Labor_Availability,Material_Availability,Site_Conditions,Government_Approvals,Budget_Issues,Equipment_Availability,Planned_Duration_Days,Actual_Completion_Days
Medium,Clear,Insufficient,On-time,Moderate,Pending,No,Delayed,287,309
Medium,Rain,Insufficient,On-time,Bad,Pending,No,Delayed,347,386
Large,Clear,Insufficient,Delayed,Bad,Pending,Yes,Available,57,98
Large,Storm,Sufficient,On-time,Bad,Approved,No,Available,96,145
Medium,Snow,Insufficient,Delayed,Good,Approved,No,Available,188,199
Medium,Rain,Sufficient,On-time,Moderate,Approved,Yes,Delayed,94,135
Small,Snow,Insufficient,Delayed,Bad,Approved,No,Available,333,360
Small,Rain,Insufficient,Delayed,Moderate,Pending,Yes,Delayed,308,349
Small,Storm,Sufficient,On-time,Good,Approved,No,Delayed,280,320
Small,Snow,Insufficient,Delayed,Moderate,Approved,No,Delayed,88,106
Medium,Rain,Sufficient,On-time,Good,Pending,No,Available,192,210
Small,Clear,Sufficient,On-time,Bad,Pending,Yes,Delayed,96,133
Small,Storm,Sufficient,Delayed,Bad,Pending,No,Delayed,263,292
Medium,Snow,Insufficient,Delayed,Good,Pending,Yes,Available,212,244
Small,Storm,Sufficient,On-time,Bad,Approved,Yes,Delayed,110,151
Medium,Snow,Insufficient,Delayed,Bad,Pending,No,Delayed,175,191
Large,Clear,Sufficient,Delayed,Good,Pending,No,Available,223,236
Large,Clear,Insufficient,Delayed,Bad,Pending,No,Available,320,367
Medium,Clear,Insufficient,On-time,Moderate,Pending,Yes,Delayed,58,87
Medium,Rain,Sufficient,On-time,Moderate,Approved,Yes,Delayed,102,149
Medium,Snow,Sufficient,On-time,Good,Pending,No,Delayed,324,358
Large,Rain,Sufficient,Delayed,Bad,Pending,Yes,Available,326,339
Large,Snow,Insufficient,Delayed,Moderate,Pending,Yes,Available,207,224
Small,Clear,Sufficient,On-time,Bad,Pending,Yes,Delayed,269,303
Large,Clear,Sufficient,Delayed,Bad,Approved,Yes,Available,243,283
Medium,Clear,Insufficient,Delayed,Bad,Approved,Yes,Delayed,122,147
Small,Storm,Sufficient,Delayed,Moderate,Approved,No,Available,79,96
Large,Snow,Sufficient,On-time,Bad,Pending,No,Delayed,48,64
Medium,Clear,Insufficient,Delayed,Moderate,Approved,Yes,Available,59,104
Small,Clear,Sufficient,On-time,Moderate,Approved,Yes,Available,314,336
Large,Rain,Sufficient,Delayed,Good,Pending,Yes,Delayed,322,334
Large,Rain,Sufficient,On-time,Good,Approved,No,Delayed,73,87
Large,Snow,Insufficient,On-time,Good,Pending,No,Delayed,334,380
Medium,Clear,Sufficient,On-time,Moderate,Approved,Yes,Delayed,139,155
Large,Storm,Insufficient,Delayed,Bad,Approved,Yes,Available,173,199
Small,Clear,Sufficient,Delayed,Moderate,Approved,No,Available,257,283
Small,Rain,Sufficient,On-time,Good,Approved,No,Available,145,162
Medium,Rain,Insufficient,On-time,Good,Approved,No,Available,249,273
Small,Snow,Insufficient,On-time,Moderate,Pending,No,Available,35,52
Large,Snow,Insufficient,On-time,Moderate,Pending,Yes,Delayed,333,353
Small,Clear,Insufficient,Delayed,Moderate,Pending,No,Delayed,68,114
Medium,Rain,Sufficient,Delayed,Bad,Approved,No,Delayed,177,194
Large,Snow,Sufficient,Delayed,Bad,Pending,No,Available,130,143
Medium,Snow,Sufficient,Delayed,Good,Approved,No,Delayed,205,249
Medium,Clear,Sufficient,Delayed,Bad,Pending,Yes,Delayed,138,153
Large,Snow,Insufficient,Delayed,Good,Approved,No,Delayed,95,105
Small,Snow,Sufficient,On-time,Good,Approved,No,Delayed,161,173
Small,Snow,Insufficient,On-time,Moderate,Pending,No,Available,131,167
Large,Clear,Insufficient,On-time,Moderate,Pending,No,Delayed,179,223
Large,Rain,Insufficient,On-time,Moderate,Pending,Yes,Delayed,264,297
Small,Snow,Sufficient,Delayed,Bad,Approved,Yes,Delayed,251,261
Medium,Rain,Insufficient,Delayed,Good,Approved,Yes,Delayed,308,334
Medium,Storm,Insufficient,Delayed,Moderate,Pending,Yes,Available,151,192
Large,Snow,Insufficient,Delayed,Moderate,Pending,No,Delayed,44,60
Small,Snow,Sufficient,Delayed,Good,Pending,No,Delayed,310,355
Small,Storm,Insufficient,Delayed,Good,Pending,No,Delayed,279,305
Large,Rain,Insufficient,On-time,Moderate,Approved,Yes,Available,87,109
Medium,Snow,Sufficient,Delayed,Bad,Pending,No,Delayed,80,116
Large,Snow,Insufficient,On-time,Good,Approved,Yes,Delayed,311,337
Large,Rain,Insufficient,Delayed,Good,Pending,Yes,Delayed,253,275
Medium,Rain,Sufficient,Delayed,Bad,Pending,Yes,Delayed,156,189
Small,Rain,Insufficient,Delayed,Good,Pending,No,Available,273,298
Large,Rain,Sufficient,Delayed,Moderate,Pending,Yes,Delayed,123,152
Small,Snow,Insufficient,On-time,Moderate,Pending,No,Delayed,108,127
Medium,Storm,Insufficient,Delayed,Bad,Pending,No,Available,272,295
Large,Snow,Insufficient,On-time,Bad,Approved,No,Available,61,108
Large,Storm,Insufficient,Delayed,Bad,Approved,Yes,Available,152,169
Medium,Snow,Insufficient,Delayed,Moderate,Approved,Yes,Delayed,156,175
Medium,Snow,Sufficient,On-time,Moderate,Pending,Yes,Delayed,236,265
Large,Clear,Insufficient,On-time,Moderate,Approved,No,Delayed,341,376
Medium,Storm,Insufficient,On-time,Good,Pending,No,Delayed,255,300
Large,Snow,Insufficient,Delayed,Good,Pending,Yes,Delayed,334,367
Medium,Snow,Insufficient,Delayed,Moderate,Pending,No,Delayed,89,107
Medium,Clear,Insufficient,On-time,Good,Pending,Yes,Available,134,178
Medium,Clear,Insufficient,Delayed,Good,Pending,Yes,Delayed,324,345
Medium,Snow,Sufficient,On-time,Good,Approved,No,Available,48,76
Medium,Storm,Sufficient,On-time,Moderate,Pending,Yes,Available,102,126
Medium,Clear,Sufficient,Delayed,Moderate,Approved,Yes,Delayed,218,235
Small,Snow,Sufficient,Delayed,Moderate,Pending,No,Delayed,311,342
Large,Storm,Sufficient,Delayed,Bad,Pending,No,Delayed,64,109
Large,Storm,Sufficient,On-time,Moderate,Approved,Yes,Available,242,261
Medium,Storm,Sufficient,On-time,Bad,Approved,No,Available,193,242
Large,Snow,Sufficient,Delayed,Moderate,Approved,Yes,Delayed,71,101
Medium,Storm,Insufficient,Delayed,Moderate,Pending,No,Available,235,275
Medium,Rain,Sufficient,On-time,Good,Approved,Yes,Available,224,270
Large,Clear,Sufficient,Delayed,Bad,Approved,Yes,Delayed,334,366
Large,Clear,Sufficient,Delayed,Bad,Pending,Yes,Delayed,136,185
Small,Snow,Sufficient,Delayed,Good,Approved,No,Delayed,60,88
Small,Clear,Insufficient,On-time,Bad,Approved,Yes,Available,34,65
Small,Rain,Insufficient,Delayed,Moderate,Pending,No,Delayed,38,76
Medium,Snow,Insufficient,On-time,Moderate,Pending,Yes,Delayed,186,223
Small,Snow,Insufficient,Delayed,Good,Approved,Yes,Available,34,60
Large,Clear,Sufficient,Delayed,Good,Pending,No,Delayed,112,140
Medium,Clear,Sufficient,On-time,Moderate,Pending,No,Delayed,130,160
Small,Clear,Insufficient,Delayed,Moderate,Pending,No,Available,276,303
Small,Snow,Insufficient,On-time,Moderate,Pending,Yes,Delayed,227,256
Medium,Storm,Insufficient,On-time,Moderate,Pending,No,Available,112,134
Large,Snow,Insufficient,Delayed,Bad,Approved,Yes,Available,286,300
Large,Storm,Sufficient,Delayed,Bad,Approved,Yes,Available,235,253
Small,Rain,Insufficient,Delayed,Moderate,Approved,Yes,Available,256,286
Small,Clear,Sufficient,On-time,Bad,Approved,No,Delayed,352,367
Medium,Clear,Insufficient,On-time,Good,Pending,Yes,Delayed,313,352
Medium,Clear,Sufficient,On-time,Bad,Approved,Yes,Available,260,283
Small,Rain,Insufficient,Delayed,Bad,Pending,Yes,Available,206,254
Small,Storm,Sufficient,Delayed,Good,Pending,No,Delayed,116,132
Medium,Rain,Insufficient,On-time,Moderate,Pending,Yes,Available,275,308
Small,Rain,Sufficient,Delayed,Moderate,Approved,No,Available,327,364
Medium,Clear,Insufficient,Delayed,Good,Pending,No,Delayed,328,364
Medium,Storm,Insufficient,Delayed,Good,Pending,Yes,Delayed,86,127
Medium,Clear,Insufficient,On-time,Bad,Pending,No,Available,45,93
Large,Rain,Insufficient,Delayed,Bad,Pending,Yes,Available,106,138
Small,Rain,Insufficient,Delayed,Bad,Approved,No,Available,223,241
Medium,Clear,Insufficient,On-time,Good,Pending,Yes,Available,340,371
Small,Snow,Insufficient,On-time,Bad,Approved,Yes,Delayed,277,312
Medium,Snow,Insufficient,On-time,Bad,Pending,Yes,Available,221,263
Medium,Clear,Sufficient,On-time,Bad,Pending,Yes,Delayed,221,240
Small,Snow,Sufficient,On-time,Bad,Pending,Yes,Available,64,79
Small,Snow,Sufficient,On-time,Moderate,Pending,No,Available,70,119
Medium,Clear,Insufficient,On-time,Moderate,Pending,No,Available,326,358
Medium,Storm,Insufficient,Delayed,Moderate,Approved,Yes,Delayed,306,354
Medium,Rain,Sufficient,On-time,Moderate,Pending,No,Available,127,158
Large,Storm,Sufficient,Delayed,Moderate,Pending,Yes,Delayed,109,145
Medium,Clear,Insufficient,On-time,Moderate,Pending,Yes,Available,307,320
Large,Clear,Insufficient,On-time,Good,Pending,No,Available,227,247
Large,Clear,Insufficient,Delayed,Moderate,Pending,Yes,Delayed,124,154
Small,Rain,Insufficient,On-time,Moderate,Pending,Yes,Delayed,274,311
Large,Clear,Sufficient,On-time,Bad,Approved,No,Delayed,160,173
Small,Clear,Insufficient,On-time,Bad,Pending,Yes,Delayed,83,111
Medium,Clear,Sufficient,Delayed,Moderate,Approved,Yes,Delayed,97,114
Large,Clear,Insufficient,Delayed,Moderate,Approved,No,Delayed,167,206
Medium,Rain,Insufficient,On-time,Good,Approved,No,Delayed,286,311
Small,Clear,Insufficient,Delayed,Bad,Pending,Yes,Delayed,208,230
Medium,Storm,Sufficient,On-time,Good,Pending,Yes,Available,258,282
Medium,Storm,Sufficient,On-time,Moderate,Approved,No,Delayed,347,360
Large,Clear,Sufficient,On-time,Good,Pending,Yes,Delayed,312,326
Medium,Storm,Sufficient,On-time,Good,Approved,No,Available,203,214
Medium,Clear,Insufficient,On-time,Moderate,Pending,No,Delayed,246,272
Small,Storm,Insufficient,On-time,Bad,Approved,No,Delayed,311,321
Medium,Snow,Insufficient,Delayed,Bad,Pending,Yes,Available,322,361
Large,Rain,Sufficient,Delayed,Bad,Pending,No,Delayed,200,222
Small,Rain,Sufficient,Delayed,Moderate,Approved,No,Delayed,156,197
Small,Snow,Insufficient,Delayed,Moderate,Pending,No,Delayed,287,304
Medium,Rain,Sufficient,Delayed,Moderate,Approved,Yes,Delayed,355,395
Medium,Storm,Insufficient,Delayed,Good,Approved,Yes,Available,114,136
Small,Rain,Insufficient,On-time,Bad,Approved,No,Available,209,257
Medium,Storm,Insufficient,Delayed,Moderate,Pending,No,Available,168,203
Small,Snow,Sufficient,Delayed,Bad,Pending,Yes,Delayed,314,357
Large,Storm,Insufficient,Delayed,Good,Pending,Yes,Available,188,202
Small,Storm,Sufficient,On-time,Bad,Pending,No,Delayed,65,76
Medium,Rain,Sufficient,Delayed,Moderate,Approved,No,Delayed,50,92
Small,Snow,Sufficient,Delayed,Bad,Approved,Yes,Available,38,49
Medium,Clear,Insufficient,Delayed,Good,Pending,No,Delayed,290,300
Large,Snow,Insufficient,Delayed,Bad,Approved,Yes,Available,319,357
Small,Rain,Insufficient,Delayed,Bad,Approved,No,Delayed,334,360
Large,Snow,Sufficient,Delayed,Good,Approved,No,Available,354,386
Large,Storm,Insufficient,Delayed,Bad,Approved,Yes,Available,222,233
Medium,Clear,Sufficient,On-time,Good,Pending,No,Available,307,323
Medium,Rain,Insufficient,Delayed,Moderate,Pending,Yes,Available,219,235
Medium,Rain,Insufficient,Delayed,Bad,Pending,No,Available,252,267
Medium,Rain,Insufficient,Delayed,Good,Pending,No,Delayed,99,121
Large,Rain,Sufficient,Delayed,Good,Approved,Yes,Delayed,282,319
Large,Storm,Sufficient,On-time,Bad,Approved,No,Available,360,371
Medium,Clear,Insufficient,Delayed,Moderate,Approved,Yes,Available,247,290
Large,Storm,Sufficient,On-time,Good,Pending,No,Delayed,343,358
Large,Snow,Sufficient,On-time,Bad,Pending,Yes,Delayed,53,93
Large,Snow,Sufficient,Delayed,Bad,Approved,No,Available,65,98
Small,Snow,Sufficient,On-time,Good,Pending,Yes,Delayed,257,295
Small,Storm,Sufficient,On-time,Bad,Pending,No,Available,324,372
Medium,Snow,Sufficient,Delayed,Good,Pending,Yes,Delayed,107,136
Large,Clear,Insufficient,Delayed,Good,Pending,No,Available,129,145
Large,Rain,Insufficient,Delayed,Bad,Approved,No,Delayed,240,252
Large,Rain,Insufficient,On-time,Good,Pending,Yes,Available,231,265
Large,Clear,Sufficient,Delayed,Moderate,Approved,No,Delayed,180,190
Large,Rain,Sufficient,On-time,Bad,Approved,No,Delayed,251,300
Small,Clear,Sufficient,On-time,Moderate,Pending,No,Available,90,118
Medium,Snow,Sufficient,Delayed,Good,Pending,No,Available,94,109
Large,Storm,Insufficient,Delayed,Bad,Pending,Yes,Delayed,48,94
Medium,Clear,Insufficient,On-time,Good,Pending,Yes,Available,69,115
Large,Rain,Insufficient,Delayed,Bad,Pending,Yes,Delayed,296,307
Large,Rain,Sufficient,Delayed,Bad,Approved,Yes,Available,50,84
Small,Clear,Insufficient,Delayed,Moderate,Pending,Yes,Delayed,173,210
Small,Snow,Sufficient,On-time,Moderate,Approved,No,Available,277,308
Large,Snow,Sufficient,Delayed,Bad,Approved,Yes,Delayed,236,284
Large,Rain,Insufficient,On-time,Moderate,Pending,No,Available,293,327
Large,Clear,Sufficient,Delayed,Moderate,Approved,No,Available,231,277
Small,Clear,Sufficient,On-time,Bad,Pending,No,Delayed,341,364
Medium,Rain,Insufficient,Delayed,Good,Approved,Yes,Available,246,257
Medium,Clear,Sufficient,Delayed,Moderate,Pending,Yes,Available,74,123
Small,Snow,Sufficient,Delayed,Good,Pending,No,Delayed,309,326
Large,Storm,Insufficient,Delayed,Good,Approved,No,Available,278,302
Small,Rain,Sufficient,Delayed,Bad,Approved,No,Available,222,261
Large,Clear,Insufficient,Delayed,Moderate,Approved,No,Available,357,393
Small,Rain,Insufficient,Delayed,Moderate,Pending,Yes,Available,207,235
Large,Rain,Sufficient,Delayed,Moderate,Pending,No,Delayed,202,227
Small,Snow,Insufficient,On-time,Moderate,Pending,Yes,Available,183,217
Large,Rain,Insufficient,Delayed,Good,Pending,Yes,Available,279,293
Medium,Storm,Insufficient,On-time,Bad,Approved,Yes,Available,58,107
Large,Clear,Sufficient,Delayed,Moderate,Pending,No,Available,275,309
Medium,Snow,Sufficient,Delayed,Good,Approved,No,Delayed,292,338
Medium,Snow,Sufficient,On-time,Good,Approved,No,Available,289,323
Medium,Storm,Insufficient,On-time,Moderate,Pending,No,Delayed,301,324
Small,Rain,Sufficient,Delayed,Moderate,Approved,No,Delayed,60,87
Small,Storm,Sufficient,On-time,Good,Approved,No,Available,284,306
Small,Clear,Sufficient,On-time,Bad,Approved,Yes,Delayed,121,141
Small,Snow,Sufficient,On-time,Good,Approved,Yes,Delayed,304,331
Small,Storm,Sufficient,Delayed,Bad,Pending,No,Available,121,169
Medium,Clear,Sufficient,Delayed,Bad,Approved,Yes,Available,30,78
Medium,Storm,Insufficient,On-time,Bad,Approved,No,Delayed,254,284
Medium,Storm,Sufficient,On-time,Good,Approved,No,Available,236,283
Large,Rain,Insufficient,On-time,Moderate,Approved,No,Available,332,345
Medium,Snow,Insufficient,On-time,Moderate,Pending,No,Delayed,47,84
Large,Storm,Sufficient,Delayed,Moderate,Approved,Yes,Available,359,377
Medium,Rain,Insufficient,Delayed,Moderate,Approved,No,Available,301,346
Medium,Rain,Insufficient,On-time,Good,Pending,No,Available,64,103
Large,Rain,Sufficient,On-time,Bad,Pending,No,Available,206,247
Medium,Rain,Sufficient,On-time,Good,Pending,Yes,Delayed,324,356
Medium,Clear,Sufficient,On-time,Moderate,Pending,No,Delayed,108,153
Medium,Clear,Insufficient,On-time,Bad,Pending,No,Available,255,293
Large,Storm,Sufficient,Delayed,Good,Approved,Yes,Delayed,278,298
Small,Snow,Sufficient,Delayed,Good,Pending,Yes,Available,352,376
Medium,Storm,Insufficient,On-time,Moderate,Pending,No,Available,344,358
Large,Storm,Sufficient,Delayed,Bad,Approved,Yes,Available,218,253
Small,Rain,Sufficient,Delayed,Moderate,Pending,No,Available,71,90
Large,Rain,Sufficient,On-time,Good,Approved,Yes,Delayed,213,227
Large,Storm,Insufficient,On-time,Bad,Pending,No,Delayed,202,218
Small,Clear,Insufficient,On-time,Moderate,Pending,No,Delayed,245,261
Medium,Rain,Insufficient,On-time,Moderate,Approved,No,Available,207,245
Medium,Clear,Insufficient,Delayed,Good,Approved,Yes,Available,68,101
Small,Rain,Sufficient,On-time,Good,Approved,Yes,Available,206,234
Medium,Snow,Sufficient,Delayed,Bad,Approved,Yes,Available,250,289
Medium,Storm,Insufficient,Delayed,Moderate,Pending,Yes,Available,205,240
Medium,Clear,Sufficient,Delayed,Moderate,Pending,Yes,Available,131,165
Large,Storm,Sufficient,On-time,Moderate,Approved,No,Delayed,238,276
Large,Snow,Sufficient,On-time,Good,Pending,Yes,Delayed,288,298
Small,Snow,Insufficient,On-time,Bad,Pending,No,Available,102,126
Medium,Rain,Insufficient,On-time,Moderate,Pending,No,Available,276,323
Small,Clear,Sufficient,Delayed,Moderate,Approved,Yes,Delayed,326,360
Large,Storm,Insufficient,Delayed,Bad,Pending,No,Delayed,278,291
Medium,Snow,Insufficient,Delayed,Moderate,Approved,Yes,Available,202,230
Large,Storm,Insufficient,Delayed,Good,Approved,No,Available,299,323
Large,Clear,Sufficient,Delayed,Bad,Approved,Yes,Delayed,341,385
Small,Rain,Sufficient,Delayed,Good,Pending,No,Available,272,298
Medium,Clear,Sufficient,Delayed,Moderate,Pending,No,Delayed,225,271
Large,Snow,Sufficient,Delayed,Good,Pending,No,Delayed,283,310
Medium,Rain,Insufficient,On-time,Good,Approved,Yes,Available,211,259
Small,Rain,Sufficient,On-time,Good,Pending,No,Available,209,220
Large,Storm,Sufficient,On-time,Moderate,Approved,No,Delayed,186,228
Large,Rain,Insufficient,Delayed,Good,Approved,No,Available,239,284
Medium,Rain,Insufficient,Delayed,Good,Approved,Yes,Delayed,360,388
Large,Storm,Sufficient,Delayed,Good,Pending,Yes,Delayed,364,396
Large,Snow,Sufficient,Delayed,Good,Approved,No,Delayed,285,302
Small,Snow,Insufficient,Delayed,Moderate,Pending,Yes,Delayed,271,289
Small,Snow,Sufficient,Delayed,Bad,Pending,No,Delayed,323,369
Small,Rain,Insufficient,On-time,Good,Pending,No,Available,69,118
Small,Rain,Insufficient,Delayed,Moderate,Approved,Yes,Delayed,114,127
Small,Rain,Insufficient,Delayed,Good,Approved,Yes,Delayed,82,113
Large,Snow,Sufficient,Delayed,Good,Approved,No,Available,42,55
Small,Snow,Insufficient,Delayed,Good,Pending,No,Available,338,358
Medium,Clear,Sufficient,On-time,Good,Pending,Yes,Delayed,238,282
Medium,Clear,Insufficient,Delayed,Good,Pending,No,Delayed,199,239
Small,Clear,Sufficient,Delayed,Good,Approved,No,Available,331,359
Small,Clear,Insufficient,Delayed,Bad,Approved,No,Available,133,156
Medium,Rain,Sufficient,Delayed,Moderate,Approved,Yes,Available,121,168
Medium,Snow,Sufficient,Delayed,Good,Approved,Yes,Available,294,342
Large,Clear,Sufficient,Delayed,Moderate,Pending,No,Delayed,287,305
Small,Storm,Insufficient,On-time,Good,Approved,Yes,Delayed,245,265
Large,Storm,Sufficient,Delayed,Good,Pending,No,Available,164,197
Large,Storm,Sufficient,Delayed,Good,Approved,No,Available,123,170
Large,Rain,Insufficient,On-time,Bad,Approved,Yes,Delayed,266,294
Large,Rain,Insufficient,Delayed,Good,Approved,Yes,Available,179,204
Medium,Clear,Insufficient,On-time,Moderate,Pending,No,Delayed,96,137
Small,Clear,Insufficient,Delayed,Moderate,Pending,Yes,Delayed,361,374
Medium,Snow,Sufficient,On-time,Good,Pending,Yes,Available,120,158
Medium,Snow,Sufficient,On-time,Bad,Approved,Yes,Delayed,348,370
Small,Rain,Insufficient,On-time,Bad,Pending,No,Available,104,114
Medium,Clear,Sufficient,On-time,Moderate,Pending,No,Available,268,286
Medium,Clear,Insufficient,Delayed,Good,Pending,No,Delayed,364,380
Large,Snow,Sufficient,Delayed,Bad,Approved,No,Delayed,350,395
Large,Storm,Insufficient,Delayed,Moderate,Pending,No,Delayed,357,380
Small,Snow,Sufficient,Delayed,Bad,Pending,Yes,Available,156,195
Medium,Rain,Sufficient,Delayed,Good,Approved,No,Delayed,345,387
Medium,Snow,Insufficient,Delayed,Bad,Pending,Yes,Available,147,177
Small,Storm,Sufficient,On-time,Bad,Pending,Yes,Available,191,223
Small,Rain,Insufficient,On-time,Moderate,Pending,Yes,Available,130,154
Large,Rain,Sufficient,Delayed,Moderate,Approved,No,Available,234,276
Large,Clear,Insufficient,Delayed,Bad,Approved,No,Delayed,284,294
Small,Clear,Sufficient,On-time,Good,Pending,Yes,Delayed,289,306
Small,Storm,Insufficient,Delayed,Bad,Approved,No,Delayed,35,55
Small,Clear,Sufficient,On-time,Bad,Pending,No,Delayed,294,341
Small,Snow,Insufficient,On-time,Bad,Approved,No,Available,124,160
Small,Storm,Insufficient,Delayed,Bad,Approved,Yes,Delayed,162,175
Medium,Clear,Sufficient,On-time,Bad,Pending,No,Delayed,139,174
Large,Snow,Insufficient,Delayed,Good,Pending,Yes,Delayed,53,86
Medium,Snow,Insufficient,Delayed,Good,Pending,No,Available,290,313
Small,Storm,Sufficient,On-time,Good,Approved,No,Delayed,355,387
Medium,Snow,Insufficient,On-time,Moderate,Pending,Yes,Delayed,245,289
Small,Clear,Insufficient,On-time,Bad,Pending,No,Available,91,113
Large,Clear,Insufficient,Delayed,Bad,Approved,Yes,Delayed,300,349
Large,Snow,Insufficient,Delayed,Bad,Approved,No,Available,264,280
Medium,Storm,Insufficient,Delayed,Bad,Pending,No,Available,314,361
Large,Storm,Sufficient,On-time,Good,Approved,No,Available,262,293
Large,Rain,Sufficient,Delayed,Bad,Pending,Yes,Available,77,104
Medium,Clear,Sufficient,Delayed,Bad,Approved,Yes,Delayed,300,322
Small,Snow,Sufficient,On-time,Good,Approved,Yes,Delayed,36,76
Large,Clear,Sufficient,On-time,Moderate,Pending,No,Delayed,264,278
Small,Storm,Insufficient,Delayed,Moderate,Pending,No,Delayed,291,322
Small,Snow,Sufficient,Delayed,Bad,Approved,Yes,Available,352,399
Medium,Storm,Sufficient,Delayed,Good,Pending,No,Available,82,107
Medium,Storm,Sufficient,On-time,Moderate,Pending,No,Delayed,211,249
Medium,Clear,Insufficient,On-time,Moderate,Pending,Yes,Delayed,211,236
Medium,Rain,Sufficient,On-time,Bad,Approved,Yes,Available,60,99
Medium,Rain,Sufficient,On-time,Good,Approved,Yes,Delayed,260,299
Large,Clear,Insufficient,Delayed,Bad,Pending,Yes,Available,119,167
Small,Rain,Sufficient,Delayed,Bad,Approved,Yes,Delayed,168,211
Large,Snow,Insufficient,Delayed,Good,Pending,Yes,Available,69,110
Large,Clear,Insufficient,Delayed,Good,Approved,No,Available,356,369
Medium,Snow,Sufficient,On-time,Good,Approved,Yes,Delayed,351,382
Large,Rain,Sufficient,Delayed,Bad,Approved,Yes,Available,271,307
Medium,Snow,Insufficient,On-time,Moderate,Pending,Yes,Delayed,314,334
Large,Rain,Sufficient,Delayed,Moderate,Pending,Yes,Available,362,382
Small,Storm,Insufficient,On-time,Moderate,Pending,No,Available,113,162
Large,Snow,Sufficient,Delayed,Moderate,Pending,No,Delayed,226,237
Medium,Storm,Insufficient,On-time,Bad,Approved,Yes,Delayed,213,238
Large,Rain,Insufficient,On-time,Moderate,Approved,No,Delayed,216,255
Large,Snow,Insufficient,Delayed,Moderate,Approved,No,Available,340,389
Small,Rain,Sufficient,On-time,Bad,Pending,Yes,Available,69,90
Large,Storm,Insufficient,On-time,Bad,Pending,No,Delayed,241,279
Small,Storm,Insufficient,Delayed,Good,Approved,Yes,Available,82,105
Medium,Snow,Sufficient,On-time,Moderate,Pending,No,Available,319,367
Small,Snow,Sufficient,Delayed,Good,Approved,Yes,Delayed,361,387
Small,Storm,Insufficient,Delayed,Moderate,Pending,Yes,Delayed,203,222
Small,Rain,Sufficient,Delayed,Moderate,Pending,No,Available,35,81
Medium,Storm,Insufficient,Delayed,Good,Pending,Yes,Delayed,158,182
Medium,Storm,Sufficient,On-time,Bad,Approved,Yes,Delayed,214,235
Medium,Storm,Insufficient,On-time,Moderate,Approved,Yes,Available,193,233
Small,Storm,Insufficient,Delayed,Bad,Approved,No,Delayed,269,296
Small,Snow,Insufficient,On-time,Good,Approved,No,Delayed,80,122
Small,Snow,Sufficient,Delayed,Moderate,Pending,Yes,Available,183,206
Small,Rain,Insufficient,On-time,Good,Pending,No,Delayed,350,373
Medium,Rain,Insufficient,Delayed,Moderate,Approved,No,Available,235,280
Medium,Rain,Insufficient,On-time,Moderate,Pending,Yes,Available,98,147
Small,Rain,Sufficient,Delayed,Good,Approved,No,Delayed,110,148
Small,Snow,Insufficient,Delayed,Moderate,Approved,Yes,Delayed,111,152
Medium,Snow,Sufficient,On-time,Moderate,Approved,Yes,Delayed,271,296
Large,Rain,Insufficient,Delayed,Good,Approved,No,Delayed,145,163
Small,Clear,Insufficient,On-time,Bad,Approved,No,Available,312,323
Medium,Rain,Insufficient,On-time,Moderate,Pending,Yes,Delayed,102,137
Small,Clear,Insufficient,Delayed,Good,Approved,No,Delayed,241,265
Small,Rain,Sufficient,On-time,Good,Approved,No,Delayed,205,248
Small,Storm,Insufficient,Delayed,Bad,Pending,Yes,Available,345,380
Medium,Rain,Sufficient,Delayed,Moderate,Approved,No,Available,228,244
Large,Clear,Sufficient,On-time,Moderate,Pending,Yes,Delayed,175,217
Large,Snow,Insufficient,Delayed,Bad,Pending,Yes,Delayed,188,202
Large,Clear,Sufficient,Delayed,Moderate,Pending,Yes,Delayed,361,403
Large,Snow,Sufficient,On-time,Bad,Approved,Yes,Available,245,266
Medium,Rain,Insufficient,On-time,Moderate,Approved,Yes,Available,39,60
Medium,Storm,Insufficient,Delayed,Moderate,Pending,No,Delayed,283,298
Medium,Rain,Insufficient,On-time,Good,Pending,No,Delayed,121,163
Medium,Snow,Sufficient,On-time,Moderate,Approved,Yes,Available,41,68
Medium,Clear,Insufficient,Delayed,Bad,Approved,No,Available,190,234
Large,Storm,Sufficient,Delayed,Good,Approved,Yes,Delayed,193,230
Medium,Rain,Sufficient,On-time,Bad,Approved,No,Delayed,323,369
Medium,Rain,Sufficient,Delayed,Moderate,Approved,Yes,Delayed,237,286
Small,Storm,Sufficient,Delayed,Bad,Approved,Yes,Available,252,293
Medium,Snow,Insufficient,On-time,Good,Pending,No,Available,161,192
Large,Snow,Insufficient,On-time,Moderate,Approved,Yes,Available,352,362
Large,Snow,Insufficient,On-time,Good,Approved,Yes,Delayed,85,97
Large,Clear,Sufficient,Delayed,Bad,Approved,Yes,Delayed,202,227
Small,Snow,Sufficient,Delayed,Moderate,Approved,Yes,Available,286,306
Large,Snow,Insufficient,Delayed,Bad,Pending,No,Delayed,176,211
Large,Clear,Insufficient,Delayed,Bad,Pending,No,Available,211,237
Large,Clear,Sufficient,On-time,Bad,Pending,Yes,Available,258,293
Large,Rain,Sufficient,Delayed,Good,Approved,No,Delayed,317,353
Medium,Rain,Insufficient,On-time,Good,Pending,Yes,Available,336,368
Medium,Storm,Insufficient,Delayed,Moderate,Pending,Yes,Delayed,39,57
Small,Clear,Sufficient,Delayed,Bad,Approved,Yes,Delayed,316,345
